company_name,ticker,cik,segment,subsegment
Walmart,WMT,104169,Discount,
Build-A-Bear,BBW,1113809,Specialty,Category Killer
Target,TGT,27419,Discount,
Dollar General,DG,29534,Discount,
Dollar Tree,DLTR,935703,Discount,
Five Below,FIVE,1177609,Discount,
Costco,COST,909832,Warehouse Clubs,
BJ's,BJ,1531152,Warehouse Clubs,
TJ Maxx,TJX,109198,Off Price,
Ross,ROST,745732,Off Price,
Burlington,BURL,1579298,Off Price,
Macy's,M,794367,Department Store,
Nordstrom,JWN,72333,Department Store,
Dillard's,DDS,28917,Department Store,
Kohl's,KSS,885639,Department Store,
Amazon,AMZN,1018724,Online,
Wayfair,W,1616707,Online,
Chewy,CHWY,1766502,Online,
Ulta Beauty,ULTA,1403568,Specialty,Beauty
Bath & Body Works,BBWI,886158,Specialty,Beauty
Victoria's Secret,VSCO,1856437,Specialty,Apparel
Signet Jewelers,SIG,832988,Specialty,Accessories and Shoes
Tapestry,TPR,1116132,Specialty,Accessories and Shoes
Capri Holdings,CPRI,1530721,Specialty,Accessories and Shoes
Lululemon,LULU,1397187,Specialty,Apparel
Boot Barn,BOOT,1610250,Specialty,Accessories and Shoes
Foot Locker,FL,850209,Specialty,Accessories and Shoes
Nike,NKE,320187,Specialty,Accessories and Shoes
Abercrombie & Fitch,ANF,1018840,Specialty,Apparel
American Eagle,AEO,919012,Specialty,Apparel
Urban Outfitters,URBN,912615,Specialty,Apparel
Gap,GAP,39911,Specialty,Apparel
Levi Strauss,LEVI,94845,Specialty,Apparel
Dick's Sporting Goods,DKS,1089063,Specialty,Category Killer
Academy Sports,ASO,1817358,Specialty,Category Killer
Best Buy,BBY,764478,Specialty,Category Killer
YETI,YETI,1670592,Specialty,Home
Sherwin-Williams,SHW,89800,Specialty,Home
RH,RH,1528849,Specialty,Home
Williams-Sonoma,WSM,719955,Specialty,Home
Home Depot,HD,354950,Home Improvement,
Lowe's,LOW,60667,Home Improvement,
Tractor Supply,TSCO,916365,Home Improvement,
Kroger,KR,56873,Grocery,
Albertsons,ACI,1646972,Grocery,
Walgreens,WBA,1618921,Health & Pharmacy,
CVS,CVS,64803,Health & Pharmacy,
Rite Aid,RAD,84129,Health & Pharmacy,
Louis Vuitton,MC.PA,,Specialty,Category Killer
Inditex/Zara,ITX.MC,,Specialty,Fast Fashion
H&M,HM-B.ST,,Specialty,Fast Fashion
Adidas,ADS.DE,,Specialty,Accessories and Shoes
Aritzia,ATZ.TO,,Specialty,Apparel
Ahold Delhaize,AD.AS,,Grocery,
ASOS,ASOMF,,Online,
