company_name,year,Net Revenue,Cost of Goods,SG&A,Operating Profit,Net Profit,Inventory,Current Assets,Total Assets,Current Liabilities,Total Shareholder Equity,Total Liabilities and Shareholder Equity
academy_sports,2021,5689233,3955188,1313647,420398,308764,990034,1415020,4384482,1167093,1111983,4384482
academy_sports,2022,6773128,4422033,1443148,907947,671381,1171808,1715747,4584940,1127110,1466946,4584940
academy_sports,2023,6395073,4182571,1365953,846549,628001,1283517,1686675,4595439,1038716,1628306,4595439
academy_sports,2024,6159291,4049080,1432356,677855,519190,1194159,1644900,4676713,879858,1954650,4676713
af,2019,3590109,1430193,484863,127366,78808,437879,1335950,2385593,558917,1218621,2385593
af,2020,3623073,1472155,464615,70068,44960,434326,1264749,3549665,815354,1058810,3549665
af,2021,3125384,1234179,463843,-20469,-108954,404053,1661629,3314902,959399,936628,3314902
af,2022,3712768,1400773,536815,343084,270066,525864,1507759,2939491,1015240,826090,2939491
af,2023,3697751,1593213,517602,92648,10385,505621,1228018,2713100,902200,694841,2713100
af,2024,4280677,1587265,642877,484671,335413,469466,1537265,2974233,966820,1035160,2974233
albertsons,2019,60534500,43639900,16107300,787300,131100,4332800,6250000,20776600,5152700,1450700,20776600
albertsons,2020,62455100,44860900,16641900,1437100,466400,4352500,5731300,24735100,5904300,2278100,24735100
albertsons,2021,69690400,49275900,18835800,1617500,850200,4301300,6988000,26598000,6832200,1324300,26598000
albertsons,2022,71887000,51164600,18300500,2436900,1619600,4500800,8366400,28123000,8348500,3024600,28123000
albertsons,2023,77649700,55894100,19596000,2307100,1513500,4782000,6270400,26168200,8428800,1610700,26168200
albertsons,2024,79237700,57192000,19932900,2068900,1296000,4945200,6287500,26221100,7457700,2747500,26221100
amazon,2019,232887000,139156000,4336000,12421000,10073000,17174000,75101000,162648000,68391000,43549000,162648000
amazon,2020,280522000,165536000,61215000,14541000,11588000,20497000,96334000,225248000,87812000,62060000,225248000
amazon,2021,386064000,233307000,129386000,22899000,21331000,23795000,132733000,321195000,126385000,93404000,321195000
amazon,2022,469822000,272344000,170000,24879000,33364000,32640000,161580000,420549000,142266000,138245000,420549000
amazon,2023,513983000,288831000,54129000,12248000,-2722000,34405000,146791000,462675000,155393000,146043000,462675000
amazon,2024,574785000,304739000,56186000,36852000,30425000,33318000,172351000,527854000,164917000,201875000,527854000
american_eagle,2019,4035720,2548082,980610,337129,261902,424404,1046253,1903378,542645,1287555,1903378
american_eagle,2020,4308212,2785911,1029412,233345,191257,446278,1047930,3328679,751756,1247853,3328679
american_eagle,2021,3759113,2610966,977264,-271345,-209274,405445,1522643,3434806,858482,1086665,3434806
american_eagle,2022,5010785,3018995,1222000,591065,419629,553458,1396924,3786643,842871,1423672,3786643
american_eagle,2023,4989833,3244585,1269095,247047,125136,585083,1100241,3420956,768948,1599163,3420956
american_eagle,2024,5261770,3237192,1433300,222717,170038,640662,1433350,3557909,891172,1736759,3557909
bbb,2019,12028797,7924817,3681210,-87135,-137224,2618922,3909972,6570541,2077632,2560331,6570541
bbb,2020,11158580,7616920,3732498,-700064,-613816,2093869,3826285,7790515,2466526,1764935,7790515
bbb,2021,9233028,6114947,3224363,-336887,-150773,1671909,3620045,6456930,2294921,1276936,6456930
bbb,2022,7867778,5384287,2692292,-407578,-559623,1725410,2363154,5130572,2074787,174145,5130572
bbb,2023,5344685,4129802,2372969,-2775639,-3498801,817553,1096909,2225217,2495884,-2800008,2225217
best_buy,2019,42879000,32918000,8015000,1900000,1464000,5409000,8870000,12901000,7513000,3306000,12901000
best_buy,2020,43638000,33590000,7998000,2009000,1541000,5174000,8857000,15591000,8060000,3479000,15591000
best_buy,2021,47262000,36689000,7928000,2391000,1798000,5612000,12540000,19067000,10521000,4587000,19067000
best_buy,2022,51761000,40121000,8635000,3039000,2454000,5965000,10539000,17504000,10674000,3020000,17504000
best_buy,2023,46298000,36386000,7970000,1795000,1419000,5140000,8802000,15803000,8979000,2795000,15803000
best_buy,2024,43452000,33849000,7876000,1574000,1241000,4958000,7897000,14967000,7909000,3053000,14967000
bjs,2019,13007347,10646452,2051324,303453,127261,1052306,1337206,3239285,1577688,-202084,3239285
bjs,2020,13190707,10763926,2059430,352199,187176,1081502,1360020,5269780,1801416,-54344,5269780
bjs,2021,15430017,12451061,2326755,642392,421030,1205695,1470581,5411530,2031212,319327,5411530
bjs,2022,16667302,13588612,2446465,617323,426652,1242935,1517056,5668894,2002481,648108,5668894
bjs,2023,19315165,15883677,2668569,737986,513177,1378551,1703245,6349956,2545341,1046837,6349956
bjs,2024,19968689,16326129,2822513,800419,523741,1454822,1794006,6677622,2468048,1458851,6677622
boot_barn,2019,776854,525420,187112,64322,39022,240734,277343,636075,151943,264164,636075
boot_barn,2020,845575,569084,202823,73668,47949,288717,384651,924711,312625,321693,924711
boot_barn,2021,893491,598612,208553,86326,59386,275760,374456,933581,221656,394891,933581
boot_barn,2022,1488256,913183,316735,258338,192450,474300,541831,1199855,336468,599676,1199855
boot_barn,2023,1657615,1047043,378785,231787,170553,589494,669173,1517381,374842,776450,1517381
boot_barn,2024,1667009,1052585,416210,198214,146996,599120,729649,1705592,312808,943643,1705592
burlington,2019,6643051,3868119,2018737,507584,414745,954183,1271900,3079172,1247742,322710,3079172
burlington,2020,7286398,4228740,2228178,580525,465116,777248,1417371,5593859,1461901,528149,5593859
burlington,2021,5763.98,3555.024,2326.928,-437.623,-216.499,740788,2510616,6781092,1683996,464754,6781092
burlington,2022,9322,5436,2869,,409,1021009,2547644,7089513,1947647,760417,7089513
burlington,2023,8702604,5171715,2877356,307509,230123,,,,,,
burlington,2024,9727.467,5584.06,3288.315,465.773,339.649,1087841,2327024,7706840,2028786,996932,7706840
capri_holdings,2019,5238000,2058000,2075000,735000,542000,953000,1729000,6650000,1542000,2432000,6650000
capri_holdings,2020,5551000,2280000,2464000,-192000,-225000,827000,1894000,7946000,1401000,2168000,7946000
capri_holdings,2021,4060000,1463000,2018000,19000,-62000,736000,1546000,7481000,1621000,2158000,7481000
capri_holdings,2022,5654000,1910000,2533000,903000,823000,1096000,1891000,7480000,1566000,2559000,7480000
capri_holdings,2023,5619000,1895000,2708000,679000,616000,1057000,1870000,7295000,1450000,1849000,7295000
capri_holdings,2024,5170000,1831000,2784000,-241000,-229000,862000,1608000,6689000,1695000,1599000,6689000
chewy,2020,4846743,3702683,969890,-252726,-252370,317808,629789,932321,1100538,-403974,932321
chewy,2021,7146264,5325457,1397969,-90464,-92486,513304,1226778,1740910,1380862,-2,1740910
chewy,2022,8890773,6517191,1826858,-72178,-73817,560430,1323532,2086281,1644879,14736,2086281
chewy,2023,10098939,7268034,2125766,55753,49232,675520,1520321,2515076,1769349,213957,2515076
chewy,2024,11147720,7986202,2442683,-23.625,39.58,719273,2104348,3186851,2110877,510244,3186851
costco,2019,152703000,132886000,14994000,4737000,3659000,11395000,23485000,45400000,23237000,15584000,45400000
costco,2020,166761000,144939000,16332000,5435000,4002000,12242000,28120000,55556000,24844000,18284000,55556000
costco,2021,195929000,170684000,18461000,6708000,5007000,14215000,29505000,59268000,29441000,17564000,59268000
costco,2022,226954000,199382000,19779000,7793000,5844000,17907000,32696000,64166000,31998000,20642000,64166000
costco,2023,242290000,212586000,21590000,8114000,6292000,16651000,35879000,68994000,33583000,25058000,68994000
costco,2024,254453000,222358000,22810000,9285000,7367000,18647000,34246000,69831000,35464000,23622000,69831000
cvs,2019,193919000,156447000,21368000,4021000,-596000,16450000,45243000,196456000,44009000,58543000,196456000
cvs,2020,192643000,158719000,33541000,11987000,6634000,17516000,50302000,222449000,53303000,63864000,222449000
cvs,2021,,,,,,18496000,56369000,230715000,62017000,69389000,230715000
cvs,2022,214780000,175803000,37066000,13193000,7910000,17760000,60008000,232999000,67807000,75075000,232999000
cvs,2023,322467000,196892000,38212000,7746000,4149000,19090000,65682000,228275000,69736000,71015000,228275000
cvs,2024,357776000,217098000,39832000,13743000,8344000,18025000,67858000,249728000,79189000,76461000,249728000
dicks,2019,8436570,5998788,1986576,444733,319864,1824696,2122398,4187149,1504639,1904161,4187149
dicks,2020,8750743,6196185,2173677,375613,297462,2202275,2410016,6628560,2076474,1731598,6628560
dicks,2021,9584019,6533312,2298534,741477,530251,1953568,3759650,7752859,2550198,2339534,7752859
dicks,2022,12293368,7581482,2664083,2034503,1519871,2297609,5106656,9041676,2712680,2101586,9041676
dicks,2023,12368198,8083640,2805462,1463019,1043138,2830917,4963186,8992196,2641446,2524623,8992196
dicks,2024,12984399,8450664,3204108,1282365,1046519,2848797,4890049,9311752,2752394,2617281,9311752
dillards,2019,6356109,4291520,1691180,207962,170263,1528417,1770532,3431369,933535,1678381,3431369
dillards,2020,6343211,4235978,1691017,133891,111081,1465007,1848082,3430257,930820,1623259,3430257
dillards,2021,4433185,3069063,1211483,-153404,-71654,1087763,1661940,3092515,772877,1441008,3092515
dillards,2022,6624267,3747665,1536554,1088363,862473,1080178,1914651,3245557,966186,1451218,3245557
dillards,2023,6996215,3983598,1674317,1109467,891637,1120208,2071846,3329150,858961,1598638,3329150
dillards,2024,6874420,4031108,1717415,916617,738847,1093999,2208210,3448906,827756,1697068,3448906
dollar_general,2019,25625043,17821173,5687564,2116306,1589472,4097004,4663020,13204038,3015857,6417393,13204038
dollar_general,2020,27753973,19264912,6186757,2302304,1712555,4676848,5177868,22825084,4543560,6702500,22825084
dollar_general,2021,33746839,23027977,7164097,3554765,2655050,5247477,6914219,25862624,5710783,6661238,25862624
dollar_general,2022,34220449,23407443,7592331,3220675,2399232,5614325,6303843,26327371,5979357,6261986,26327371
dollar_general,2023,37844863,26024765,8491796,3328302,2415989,6760733,7581009,29083367,5887768,5541772,29083367
dollar_general,2024,38691609,26972585,9272724,2446300,1661274,6994266,8010724,30795591,6725701,6749119,30795591
dollar_tree,2019,22823300,15875800,7887000,-939500,-1590800,3536000,4293300,13501200,2095700,5642900,13501200
dollar_tree,2020,23610800,16570100,5778500,1262200,827000,3522000,4269400,19574600,3546500,6254800,19574600
dollar_tree,2021,25509300,17721000,5900400,1887900,1341900,3427000,5050800,20696000,3730300,7285300,20696000
dollar_tree,2022,26321200,18583900,5925900,1811400,1327900,4367300,5609200,21721800,4176600,7718500,21721800
dollar_tree,2023,28331700,19396300,6699100,2236300,1615400,5449300,6367100,23022100,4225200,8751500,23022100
dollar_tree,2024,30603800,21272000,10213600,-881800,-998400,5112800,6132700,22023500,4696700,7313100,22023500
five_below,2019,1559563,994478,377901,187184,149645,243636,642257,952264,253105,615094,952264
five_below,2020,1846730,1172764,456682,217284,175056,324028,665713,1958661,351345,759778,1958661
five_below,2021,1962137,1309807,497527,154803,123361,281267,755413,2314770,435670,881886,2314770
five_below,2022,2848354,1817910,650564,379880,278810,455104,904739,2880460,586901,1120284,2880460
five_below,2023,3076308,1980817,750448,345043,261528,527720,1066379,3324911,602560,1361929,3324911
five_below,2024,3559369,2285544,757507,385571,301106,584627,1203542,3872037,715926,1584956,3872037
footlocker,2019,7939000,5411000,1614000,699000,541000,1269000,2518000,3820000,764000,2506000,3820000
footlocker,2020,8005000,5462000,1650000,649000,491000,1208000,2386000,6589000,1194000,2473000,6589000
footlocker,2021,7548000,5365000,1587000,303000,323000,923000,2835000,7043000,1644000,2776000,7043000
footlocker,2022,8958000,5878000,1851000,860000,892000,1266000,2363000,8135000,1735000,3243000,8135000
