company_name,year,reportDate,Net Revenue,Cost of Goods,SG&A,Operating Profit,Net Profit,Inventory,Current Assets,Total Assets,Current Liabilities,Total Shareholder Equity,Total Liabilities and Shareholder Equity
Walmart,2020,2020-01-31,519926000,394605000,108791000,20568000,14881000,44435000,61806000,236495000,77790000,81552000,236495000
Walmart,2019,2019-01-31,514405000,385301000,107147000,21957000,6670000,44269000,61897000,219295000,77477000,79634000,219295000
Target,2020,2020-02-01,78112000,54864000,16233000,4658000,3281000,8992000,12902000,42779000,14487000,11833000,42779000
Target,2019,2019-02-02,75356000,53299000,15723000,4110000,2937000,9497000,12519000,41290000,15014000,11297000,41290000
Dollar General,2020,2020-01-31,27753973,19264912,6186757,2302304,1712555,4676848,5177868,22825084,4543560,6702500,22825084
Dollar General,2019,2019-02-01,25625043,17821173,5687564,2116306,1589472,4097004,4663020,13204038,3015857,6417393,13204038
Dollar Tree,2020,2020-02-01,23610800,16570100,5465500,1262200,827000,3522000,4269400,19574600,3546500,6254800,19574600
Dollar Tree,2019,2019-02-02,22823300,15875800,5160000,-939500,-1590800,3536000,4293300,13501200,2095700,5642900,13501200
Five Below,2020,2020-02-01,1846730,1172764,456682,217284,175056,324028,665713,1958661,351345,759778,1958661
Five Below,2019,2019-02-02,1559563,994478,377901,187184,149645,243636,642257,952264,253105,615094,952264
Costco,2020,2020-08-30,163220000,144939000,16332000,5435000,4002000,12242000,28120000,55556000,24844000,18705000,55556000
Costco,2019,2019-09-01,34740000,30233000,3371000,1122000,906000,11395000,23485000,45400000,23237000,15584000,45400000
BJ's,2020,2020-02-01,13190707,10763926,2059430,352199,187176,1081502,1360020,5269780,1801416,-54344,5269780
BJ's,2019,2019-02-02,13007347,10646452,2051324,303453,127261,1052306,1337206,3239285,1577688,-202084,3239285
TJ Maxx,2020,2020-02-01,41716977,29845780,7454988,4406183,3272193,4872592,8890622,24145003,7150247,5948212,24145003
TJ Maxx,2019,2019-02-02,38972934,27831177,6923564,4173211,3059798,4579033,8469222,14326029,5531374,5048606,14326029
Ross,2020,2020-02-01,16039073,11536187,2356704,2164288,1660928,1832339,3432828,9348367,2701934,3359249,9348367
Ross,2019,2019-02-02,14983541,10726277,2216550,2050876,1587457,1750442,3404019,6073691,2009484,3305746,6073691
Burlington,2020,2020-02-01,7286398,4228740,2228178,580525,465116,777248,1417371,5593859,1461901,528149,5593859
Burlington,2019,2019-02-02,6668479,3868119,2018737,507584,414745,954183,1271900,3079172,1247742,322710,3079172
Macy's,2020,2020-02-01,24560000,15171000,8998000,970000,564000,5188000,6810000,21172000,5750000,6377000,21172000
Macy's,2019,2019-02-02,24971000,15215000,9039000,1738000,1108000,5263000,7445000,19194000,5232000,6436000,19194000
Nordstrom,2020,2020-02-01,15132000,9932000,4808000,784000,496000,1920000,3230000,9737000,3520000,979000,9737000
Nordstrom,2019,2019-02-02,15860000,10155000,4868000,837000,564000,1978000,3374000,7886000,3381000,873000,7886000
Dillard's,2020,2020-02-01,6343211,4235978,1691017,133891,111081,1465007,1848082,3430257,930820,1623259,3430257
Dillard's,2019,2019-02-02,6503349,4291520,1691180,207962,170263,1528417,1770532,3431369,933535,1678381,3431369
Kohl's,2020,2020-02-01,18885000,12140000,5705000,1099000,691000,3537000,4649000,14555000,2769000,5450000,14555000
Kohl's,2019,2019-02-02,20229000,12199000,5601000,1361000,801000,3475000,4835000,12469000,2730000,5527000,12469000
Amazon,2020,2019-12-31,280522000,0,0,0,0,20497000,96334000,225248000,87812000,62060000,225248000
Amazon,2019,2018-12-31,232887000,0,0,0,0,17174000,75101000,162648000,68391000,43549000,162648000
Wayfair,2020,2019-12-31,9127057,6979725,1624706,-929941,-984584,61692,1377138,2953048,1611519,-944208,2953048
Wayfair,2019,2018-12-31,6779174,5192451,1025767,-473279,-504080,46164,1255936,1890850,1139223,-330721,1890850
Chewy,2020,2020-02-02,4846743,-3702683,969890,-252726,-252370,317808,629789,932321,1100538,-403974,932321
Ulta Beauty,2020,2020-02-01,7398068,4717004,1760716,901094,705945,1293701,2055317,4863872,1137261,1902094,4863872
Ulta Beauty,2019,2019-02-02,6716615,4307304,1535464,854080,658559,1214329,1914861,3191172,823736,1820218,3191172
Bath & Body Works,2020,2020-02-29,11158580,7616920,3732498,-700064,-613816,2093869,3826285,7790515,2466526,1764935,7790515
Bath & Body Works,2019,2019-03-02,12028797,7924817,3681210,-87135,-137224,2618922,3909972,6570541,2077632,2560331,6570541
Signet Jewelers,2020,2020-02-01,6137100,-3904200,-1918200,158300,105500,2331700,3154800,6299100,1652600,1222600,6299100
Signet Jewelers,2019,2019-02-02,6247100,4024100,1985100,-764600,-657400,2386900,2855800,4420100,1033000,1201600,4420100
Tapestry,2020,2020-06-27,4961400,1722100,3312400,-550800,-652100,736900,2553100,7924200,1742100,2276400,7924200
Tapestry,2019,2019-06-29,6027100,1973400,3239600,814100,643400,778300,2556800,6877300,918000,3513400,6877300
Capri Holdings,2020,2020-03-28,5551000,2280000,2464000,-192000,-225000,827000,1894000,7946000,1401000,2168000,7946000
Capri Holdings,2019,2019-03-30,5238000,2058000,2075000,735000,543000,953000,1729000,6650000,1542000,2432000,6650000
Lululemon,2020,2020-02-02,3979296,1755910,1334276,889110,645596,518513,1807938,3281354,620418,1952218,3281354
Lululemon,2019,2019-02-03,3288319,1472032,1110451,705836,483801,404842,1429282,2084711,500477,1445975,2084711
Boot Barn,2020,2020-03-28,845575,569084,202823,73668,47949,288717,384651,924711,312625,321693,924711
Boot Barn,2019,2019-03-30,776854,525420,187112,64322,39022,240734,277343,636075,151943,264164,636075
Foot Locker,2020,2020-02-01,8005000,5462000,1650000,649000,491000,1208000,2386000,6589000,1194000,2473000,6589000
Foot Locker,2019,2019-02-02,7939000,5411000,1614000,699000,541000,1269000,2518000,3820000,764000,2506000,3820000
Nike,2020,2020-05-31,37403000,21162000,13126000,16241000,2539000,7367000,20556000,31342000,8284000,8055000,31342000
Nike,2019,2019-05-31,39117000,21643000,12702000,4801000,4029000,5622000,16525000,23717000,7866000,9040000,23717000
Abercrombie & Fitch,2020,2020-02-01,3623073,1472155,464615,70068,44960,434326,1264749,3549665,815354,1071178,3549665
Abercrombie & Fitch,2019,2019-02-02,3590109,1430193,484863,127366,78808,437879,1335950,2385593,558917,1208900,2385593
American Eagle,2020,2020-02-01,4308212,2785911,1029412,233345,191257,446278,1047930,3328679,751756,1247853,3328679
American Eagle,2019,2019-02-02,4035720,2548082,980610,337129,261902,424404,1046253,1903378,542645,1287555,1903378
Urban Outfitters,2020,2020-01-31,3983789,-2729352,-993990,231925,168096,409534,1053396,3315633,638770,1455355,3315633
Urban Outfitters,2019,2019-01-31,3950623,2603911,965399,381313,298003,370507,1202756,2160515,386644,1489098,2160515
Gap,2020,2020-02-01,16383000,10250000,5559000,574000,351000,2156000,4516000,13679000,3209000,3316000,13679000
Gap,2019,2019-02-02,16580000,10258000,4960000,1362000,1003000,2131000,4251000,8049000,2174000,3553000,8049000
Levi Strauss,2020,2019-11-24,5763087,2661714,2534698,566675,394612,884192,2870186,4232418,1167204,1571557,4232418
Levi Strauss,2019,2018-11-25,5575440,2577465,2460915,537060,283142,883773,2288059,3542660,1052199,667459,3542660
Dick's Sporting Goods,2020,2020-02-01,8750700,-6196185,-2173677,375613,297462,2202275,2410016,6628560,2076474,1731598,6628560
Dick's Sporting Goods,2019,2019-02-02,8436570,5998788,1986576,444733,319864,1824696,2122398,4187149,1504639,1904161,4187149
Best Buy,2020,2020-02-01,43638000,33590000,7998000,2009000,1541000,5174000,8857000,15591000,8060000,3479000,15591000
Best Buy,2019,2019-02-02,42879000,-32918000,-8015000,1900000,1464000,5409000,8870000,12901000,7513000,3306000,12901000
YETI,2020,2019-12-28,913734,438420,385543,89771,50434,185700,360547,629539,170312,122005,629539
YETI,2019,2018-12-29,778833,395705,280972,102156,57763,145423,297013,514213,187338,28971,514213
Sherwin-Williams,2020,2019-12-31,17900800,9864700,5274900,1981800,1541300,1889600,4631700,20496000,4521900,4123300,20496200
Sherwin-Williams,2019,2018-12-31,17534000,10115931,5033780,1360000,1108746,1815275,4344487,19134279,4297747,3730745,19134279
RH,2020,2020-02-01,2647437,1552426,732180,362831,220375,438696,596952,2445694,982912,18651,2445694
RH,2019,2019-02-02,2505653,1504806,711617,289230,150639,531947,682693,1806034,918172,-22962,1806034
Williams-Sonoma,2020,2020-02-02,5898008,3758916,1673218,465874,356062,1100544,1755635,4054042,1609555,1235860,4054042
Williams-Sonoma,2019,2019-02-03,5671593,-3570580,-1665060,435953,333684,1124992,1694343,2812844,1074812,1155714,2812844
Home Depot,2020,2020-02-02,110225000,72653000,19740000,15843000,11242000,14531000,19810000,51236000,18375000,-3116000,51236000
Home Depot,2019,2019-02-03,108203000,71043000,19513000,15530000,11121000,13925000,18529000,44003000,16716000,-1878000,44003000
Lowe's,2020,2020-01-31,72148000,49205000,15367000,6314000,4281000,13179000,15318000,39471000,15182000,1972000,39471000
Lowe's,2019,2019-02-01,71309000,48401000,17413000,4018000,2314000,12561000,14228000,34508000,14497000,3644000,34508000
Tractor Supply,2020,2019-12-28,8351931,5480161,1932572,743220,562354,1602781,1787887,5289268,1247600,1567123,5289268
Tractor Supply,2019,2018-12-29,7911046,5208518,1823440,701737,532357,1589542,1794399,3085262,938107,1561820,3085262
Kroger,2020,2020-02-01,122286000,95294000,21208000,2251000,1659000,8464000,10890000,45256000,14243000,8602000,45256000
Kroger,2019,2019-02-02,121162000,-94894000,-20305000,2614000,3110000,8123000,10803000,38118000,14274000,7835000,38118000
Albertsons,2020,2020-02-29,62455100,44860900,16641900,1437100,466400,4352500,5731300,24735100,5904300,2278100,24735100
Albertsons,2019,2019-02-23,60534500,43639900,16107300,787300,131100,4332800,6250000,20776600,5152700,1450700,20776600
Walgreens,2020,2020-08-31,139537000,111520000,27045000,1312000,456000,9451000,18073000,87174000,27070000,21136000,87174000
Walgreens,2019,2019-08-31,136866000,106790000,25242000,4998000,3982000,9333000,18700000,67598000,25769000,24152000,67598000
CVS,2020,2019-12-31,256776000,158719000,33541000,11987000,6634000,17516000,45195000,216668000,45762000,58721000,222449000
CVS,2019,2018-12-31,194579000,156447000,21368000,4021000,-594000,16450000,45243000,196456000,44009000,58543000,196456000
Rite Aid,2020,2020-02-29,21928393,17201635,4587336,-81612,-452174,1921604,3700641,9452369,2766463,674527,9452369
Rite Aid,2019,2019-03-02,21639557,16963205,4592375,-589477,-422213,1871941,4101719,7591367,2443135,1186690,7591367
Ulta Beauty,2020,2020-02-01,7398068,-4717004,-1760716,901094,705945,1293701,2055317,4863872,1137261,1902094,4863872
Ulta Beauty,2019,2019-02-02,6716615,-4307304,-1535464,854080,658559,1214329,1914861,3191172,823736,1820218,3191172
