company_name,year,reportDate,Net Revenue,Cost of Goods,SG&A,Operating Profit,Net Profit,Inventory,Current Assets,Total Assets,Current Liabilities,Total Shareholder Equity,Total Liabilities and Shareholder Equity
Walmart,2024,2024-01-31,648125000,490142000,130971000,27012000,15511000,54892000,76877000,252399000,92415000,83861000,252399000
Target,2024,2024-02-03,107412000,77736000,21554000,5707000,4138000,11886000,17498000,55356000,19304000,13432000,55356000
Dollar General,2024,2024-02-02,38691609,26972585,9272724,2446300,1661274,6994266,8010724,30795591,6725701,6749119,30795591
Dollar Tree,2024,2024-02-03,30603800,21272000,10213600,-881800,-998400,5112800,6132700,22023500,4696700,7313100,22023500
Five Below,2024,2024-02-03,3559369,2285544,757507,385571,301106,584627,1203542,3872037,715926,1584956,3872037
Costco,2024,2024-09-01,254453000,222358000,22810000,9285000,7367000,18647000,34246000,69831000,35464000,23622000,69831000
BJ's,2024,2024-02-03,19968689,16326129,2822513,800419,523741,1454822,1794006,6677622,2468048,1458851,6677622
TJ Maxx,2024,2024-02-03,54217000,37951000,10469000,5797000,4474000,5965000,12664000,29747000,10451000,7302000,29747000
Ross,2024,2024-02-03,20376941,14801601,3267677,2307663,1874520,2192220,7398138,14300109,4185796,4871326,14300109
Burlington,2024,2024-02-03,9727467,5584060,3288315,495091,339649,1087841,2327024,7706840,2028786,996932,7706840
Macy's,2024,2024-02-03,23866000,14143000,8375000,382000,105000,4361000,6089000,16246000,4430000,4137000,16246000
Nordstrom,2024,2024-02-03,14693000,9303000,4855000,251000,134000,1888000,3136000,8444000,3072000,848000,8444000
Dillard's,2024,2024-02-03,6874420,4031108,1717415,945897,738847,1093999,2208210,3448906,827756,1697068,3448906
Kohl's,2024,2024-02-03,17476000,10498000,5512000,717000,317000,2880000,3410000,14009000,2612000,3893000,14009000
Amazon,2024,2023-12-31,574785000,304739000,56186000,36852000,30425000,33318000,172351000,527854000,164917000,201875000,527854000
Wayfair,2024,2023-12-31,12003000,8336000,2447000,-813000,-738000,75000,1855000,3474000,2183000,-2707000,3474000
Chewy,2024,2024-01-28,11147720,7986202,2442683,-23625,39580,719273,2104348,3186851,2110877,510244,3186851
Ulta Beauty,2024,2024-02-03,11207303,6826203,2694561,1678029,1291005,1742136,2836518,5707011,1658191,2279328,5707011
Victoria's Secret,2024,2024-02-03,6182000,3940000,1996000,246000,116000,985000,1533000,4600000,1614000,417000,4600000
Signet Jewelers,2024,2024-02-03,7171100,4345700,2197700,621500,810400,1936600,3536600,6813200,1976000,2166500,6813200
Tapestry,2024,2024-06-29,6671200,1781700,3749400,1140100,816000,824800,8803700,13396300,1711600,2896900,13396300
Capri Holdings,2024,2024-03-30,5170000,1831000,2784000,-241000,-229000,862000,1608000,6689000,1695000,1600000,6689000
Lululemon,2024,2024-01-28,9619278,4009873,3397218,2132676,1550190,1323602,4060577,7091941,1631261,4232081,7091941
Boot Barn,2024,2024-03-30,1667009,1052585,416210,198214,146996,599120,729649,1705592,312808,943643,1705592
Nike,2024,2024-05-31,51362000,28475000,16576000,6311000,5700000,7519000,25382000,38110000,10593000,14430000,38110000
Abercrombie & Fitch,2024,2024-02-03,4280677,1587265,2214614,484671,328123,469466,1537265,2974233,966820,1049987,2974233
American Eagle,2024,2024-02-03,5261770,3237192,1433300,222717,170038,640662,1433350,3557909,891172,1736759,3557909
Urban Outfitters,2024,2024-01-31,5153237,3425958,1339205,369795,287674,550242,1282503,4111209,994205,2112540,4111209
Gap,2024,2024-02-03,14889000,9114000,5215000,560000,502000,1995000,4395000,11044000,3096000,2595000,11044000
Levi Strauss,2024,2023-11-26,6179000,2663300,3072200,353300,249600,1290100,2637600,6053600,1787500,2046400,6053600
Dick's Sporting Goods,2024,2024-02-03,12984400,8450664,3204108,1282365,1046519,2848797,4890049,9311752,2752394,2617281,9311752
Academy Sports,2024,2024-02-03,6159291,4049080,1432356,677855,519190,1194159,1644900,4676713,879858,1954650,4676713
Best Buy,2024,2024-02-03,43452000,33849000,7876000,1574000,1241000,4958000,7897000,14967000,7909000,3053000,14967000
YETI,2024,2023-12-30,1658713,715527,717728,225458,169885,337208,914405,1297192,398353,723610,1297192
Sherwin-Williams,2024,2023-12-31,23051900,12293800,7065400,3625600,2388800,2329800,5512900,22954000,6626900,3715800,22954400
RH,2024,2024-02-03,3029126,1640107,1022948,366071,127561,754126,1101902,4143897,872868,-297394,4143897
Williams-Sonoma,2024,2024-01-28,7750652,4447051,2059408,1244193,949762,1246369,2719797,5273548,1880315,2127861,5273548
Home Depot,2024,2024-01-28,152669000,101709000,26598000,21689000,15143000,20976000,29775000,76530000,22015000,1044000,76530000
Lowe's,2024,2024-02-02,86377000,57533000,15570000,11557000,7726000,16894000,19071000,41795000,15568000,-15050000,41795000
Tractor Supply,2024,2023-12-30,14555741,9327522,3356258,1478912,1107226,2645854,3263939,9188151,2177082,2149762,9188151
Kroger,2024,2024-02-03,150039000,116675000,26252000,3096000,2164000,9414000,12948000,50505000,16058000,11615000,50505000
Albertsons,2024,2024-02-24,79237700,57192000,19932900,2068900,1296000,4945200,6287500,26221100,7457700,2747500,26221100
Walgreens,2024,2024-08-31,147658000,121134000,28113000,-14076000,-15448000,8320000,18335000,81037000,26953000,12005000,81037000
CVS,2024,2023-12-31,357776000,217098000,39832000,13743000,8344000,18025000,67858000,249728000,79189000,76636000,249728000
Walmart,2023,2023-01-31,611289000,463721000,127140000,20428000,11680000,56576000,75655000,243197000,92198000,76693000,243197000
