Company,year,Ticker,Currency,Units,reportDate,Net Revenue,Cost of Goods,SG&A,Operating Profit,Net Profit,Inventory,Current Assets,Total Assets,Current Liabilities,Total Shareholder Equity,Total Liabilities and Shareholder Equity
Adidas,2015,DB:ADS,EUR,thousands,2014-12-31,"14,534,000.0","-7,610,000.0","-1,050,000.0","879,000.0","496,000.0","2,526,000.0","7,347,000.0","12,417,000.0","4,378,000.0","5,617,000.0","12,417,000.0"
Adidas,2016,DB:ADS,EUR,thousands,2015-12-31,"16,915,000.0","-8,748,000.0","-1,350,000.0","1,083,000.0","640,000.0","3,113,000.0","7,497,000.0","13,343,000.0","5,364,000.0","5,648,000.0","13,343,000.0"
Adidas,2017,DB:ADS,EUR,thousands,2016-12-31,"18,483,000.0","-9,383,000.0","-1,605,000.0","1,583,000.0","1,019,000.0","3,763,000.0","8,886,000.0","15,176,000.0","6,765,000.0","6,455,000.0","15,176,000.0"
Adidas,2018,DB:ADS,EUR,thousands,2017-12-31,"21,218,000.0","-10,514,000.0","-1,568,000.0","2,059,000.0","1,100,000.0","3,692,000.0","8,645,000.0","14,019,000.0","6,291,000.0","6,017,000.0","14,019,000.0"
Adidas,2019,DB:ADS,EUR,thousands,2018-12-31,"21,915,000.0","-10,552,000.0","-1,576,000.0","2,421,000.0","1,705,000.0","3,445,000.0","9,813,000.0","15,612,000.0","6,834,000.0","6,364,000.0","15,612,000.0"
Adidas,2020,DB:ADS,EUR,thousands,2019-12-31,"23,640,000.0","-11,347,000.0","-1,652,000.0","2,669,000.0","1,978,000.0","4,085,000.0","10,934,000.0","20,680,000.0","8,754,000.0","7,057,000.0","20,680,000.0"
Adidas,2021,DB:ADS,EUR,thousands,2020-12-31,"18,435,000.0","-9,213,000.0","-1,379,000.0","710,000.0","443,000.0","4,397,000.0","12,154,000.0","21,053,000.0","8,827,000.0","6,691,000.0","21,053,000.0"
Adidas,2022,DB:ADS,EUR,thousands,2021-12-31,"21,234,000.0","-10,469,000.0","-1,481,000.0","1,951,000.0","2,158,000.0","4,009,000.0","13,944,000.0","22,137,000.0","8,965,000.0","7,837,000.0","22,137,000.0"
Adidas,2023,DB:ADS,EUR,thousands,2022-12-31,"22,511,000.0","-11,867,000.0","-1,651,000.0","502,000.0","638,000.0","5,973,000.0","11,732,000.0","20,296,000.0","9,257,000.0","5,351,000.0","20,296,000.0"
Adidas,2024,DB:ADS,EUR,thousands,2023-12-31,"21,427,000.0","-11,244,000.0","-1,839,000.0","187,000.0","-14,000.0","4,525,000.0","9,809,000.0","18,020,000.0","8,043,000.0","4,925,000.0","18,020,000.0"
