Company,year,Ticker,Currency,Units,reportDate,Net Revenue,Cost of Goods,SG&A,Operating Profit,Net Profit,Inventory,Current Assets,Total Assets,Current Liabilities,Total Shareholder Equity,Total Liabilities and Shareholder Equity
Asos,2015,LSE:ASC,GBP,thousands,2015-08-31,"1,143,000.0","-569,900.0","-298,200.0","52,400.0","36,800.0","193,800.0","337,100.0","477,900.0","237,300.0","237,300.0","477,900.0"
Asos,2016,LSE:ASC,GBP,thousands,2016-08-31,"1,444,900.0","-722,700.0","-366,600.0","42,100.0","24,400.0","257,700.0","446,000.0","650,000.0","428,600.0","200,400.0","650,000.0"
Asos,2017,LSE:ASC,GBP,thousands,2017-08-31,"1,923,600.0","-965,300.0","-492,700.0","79,600.0","64,100.0","323,300.0","514,500.0","840,400.0","544,200.0","287,100.0","840,400.0"
Asos,2018,LSE:ASC,GBP,thousands,2018-08-31,"2,417,300.0","-1,180,200.0","-647,700.0","101,900.0","82,400.0","407,600.0","503,600.0","1,007,000.0","558,000.0","438,800.0","1,007,000.0"
Asos,2019,LSE:ASC,GBP,thousands,2019-08-31,"2,733,500.0","-1,399,200.0","-761,800.0","35,100.0","24,600.0","536,800.0","623,200.0","1,245,500.0","772,200.0","453,600.0","1,245,500.0"
Asos,2020,LSE:ASC,GBP,thousands,2020-08-31,"3,263,500.0","-1,716,100.0","-832,300.0","151,100.0","113,300.0","532,400.0","1,019,800.0","1,989,400.0","817,800.0","810,300.0","1,989,400.0"
Asos,2021,LSE:ASC,GBP,thousands,2021-08-31,"3,910,500.0","-2,134,100.0","-873,900.0","190,100.0","128,400.0","807,100.0","1,559,700.0","2,884,500.0","998,000.0","1,034,000.0","2,884,500.0"
Asos,2022,LSE:ASC,GBP,thousands,2022-08-31,"3,936,500.0","-2,219,000.0","-982,200.0","-9,800.0","-30,800.0","1,078,400.0","1,554,000.0","2,996,900.0","1,040,000.0","1,014,900.0","2,996,900.0"
Asos,2023,LSE:ASC,GBP,thousands,2023-08-31,"3,549,500.0","-2,090,500.0","-1,084,800.0","-250,100.0","-223,100.0","768,000.0","1,234,500.0","2,625,600.0","715,200.0","866,700.0","2,625,600.0"
Asos,2024,LSE:ASC,GBP,thousands,2024-08-31,"2,905,800.0","-1,743,300.0","-979,800.0","-335,000.0","-338,700.0","520,300.0","1,146,400.0","2,271,200.0","714,000.0","521,300.0","2,271,200.0"
