Company,year,Ticker,Currency,Units,reportDate,Net Revenue,Cost of Goods,SG&A,Operating Profit,Net Profit,Inventory,Current Assets,Total Assets,Current Liabilities,Total Shareholder Equity,Total Liabilities and Shareholder Equity
Louis Vuitton,2015,ENXTPA:MC,EUR,thousands,2014-12-31,"30,638,000.0","-10,801,000.0","-2,373,000.0","8,418,000.0","6,105,000.0","9,475.0","18,110.0","53,362.0","12,175.0","23,003.0","53,362.0"
Louis Vuitton,2016,ENXTPA:MC,EUR,thousands,2015-12-31,"35,664,000.0","-12,553,000.0","-2,663,000.0","6,044,000.0","4,001,000.0","10,096.0","18,950.0","57,601.0","12,699.0","25,799.0","57,601.0"
Louis Vuitton,2017,ENXTPA:MC,EUR,thousands,2016-12-31,"37,600,000.0","-13,039,000.0","-2,931,000.0","6,712,000.0","4,453,000.0","10,546.0","19,397.0","59,616.0","12,810.0","27,898.0","59,616.0"
Louis Vuitton,2018,ENXTPA:MC,EUR,thousands,2017-12-31,"42,636,000.0","-14,783,000.0","-3,162,000.0","8,176,000.0","5,840,000.0","10,888.0","21,061.0","69,755.0","14,989.0","30,377.0","69,755.0"
Louis Vuitton,2019,ENXTPA:MC,EUR,thousands,2018-12-31,"46,826,000.0","-15,625,000.0","-3,466,000.0","9,585,000.0","6,990,000.0","12,485.0","23,551.0","74,300.0","16,833.0","33,957.0","74,300.0"
Louis Vuitton,2020,ENXTPA:MC,EUR,thousands,2019-12-31,"53,670,000.0","-18,123,000.0","-3,864,000.0","11,102,000.0","7,782,000.0","13,717.0","26,510.0","96,507.0","22,623.0","38,365.0","96,507.0"
Louis Vuitton,2021,ENXTPA:MC,EUR,thousands,2020-12-31,"44,651,000.0","-15,871,000.0","-3,641,000.0","7,672,000.0","4,955,000.0","13,016.0","39,973.0","108,671.0","25,318.0","38,829.0","108,671.0"
Louis Vuitton,2022,ENXTPA:MC,EUR,thousands,2021-12-31,"64,215,000.0","-20,355,000.0","-4,414,000.0","17,400,000.0","12,698,000.0","16,549.0","34,301.0","125,311.0","27,989.0","48,909.0","125,311.0"
Louis Vuitton,2023,ENXTPA:MC,EUR,thousands,2022-12-31,"79,184,000.0","-24,988,000.0","-5,027,000.0","20,374,000.0","14,751,000.0","20,319.0","39,740.0","134,646.0","31,543.0","56,604.0","134,646.0"
Louis Vuitton,2024,ENXTPA:MC,EUR,thousands,2023-12-31,"86,153,000.0","-26,876,000.0","-5,714,000.0","22,381,000.0","15,952,000.0","22,952.0","43,710.0","143,694.0","33,145.0","62,701.0","143,694.0"
