Company,year,Ticker,Currency,Units,reportDate,Net Revenue,Cost of Goods,SG&A,Operating Profit,Net Profit,Inventory,Current Assets,Total Assets,Current Liabilities,Total Shareholder Equity,Total Liabilities and Shareholder Equity
Adidas,2015,DB:ADS,EUR,thousands,2014-12-31,"14,534,000.0","-7,610,000.0","-1,050,000.0","879,000.0","496,000.0","2,526,000.0","7,347,000.0","12,417,000.0","4,378,000.0","5,617,000.0","12,417,000.0"
Adidas,2016,DB:ADS,EUR,thousands,2015-12-31,"16,915,000.0","-8,748,000.0","-1,350,000.0","1,083,000.0","640,000.0","3,113,000.0","7,497,000.0","13,343,000.0","5,364,000.0","5,648,000.0","13,343,000.0"
Adidas,2017,DB:ADS,EUR,thousands,2016-12-31,"18,483,000.0","-9,383,000.0","-1,605,000.0","1,583,000.0","1,019,000.0","3,763,000.0","8,886,000.0","15,176,000.0","6,765,000.0","6,455,000.0","15,176,000.0"
Adidas,2018,DB:ADS,EUR,thousands,2017-12-31,"21,218,000.0","-10,514,000.0","-1,568,000.0","2,059,000.0","1,100,000.0","3,692,000.0","8,645,000.0","14,019,000.0","6,291,000.0","6,017,000.0","14,019,000.0"
Adidas,2019,DB:ADS,EUR,thousands,2018-12-31,"21,915,000.0","-10,552,000.0","-1,576,000.0","2,421,000.0","1,705,000.0","3,445,000.0","9,813,000.0","15,612,000.0","6,834,000.0","6,364,000.0","15,612,000.0"
Adidas,2020,DB:ADS,EUR,thousands,2019-12-31,"23,640,000.0","-11,347,000.0","-1,652,000.0","2,669,000.0","1,978,000.0","4,085,000.0","10,934,000.0","20,680,000.0","8,754,000.0","7,057,000.0","20,680,000.0"
Adidas,2021,DB:ADS,EUR,thousands,2020-12-31,"18,435,000.0","-9,213,000.0","-1,379,000.0","710,000.0","443,000.0","4,397,000.0","12,154,000.0","21,053,000.0","8,827,000.0","6,691,000.0","21,053,000.0"
Adidas,2022,DB:ADS,EUR,thousands,2021-12-31,"21,234,000.0","-10,469,000.0","-1,481,000.0","1,951,000.0","2,158,000.0","4,009,000.0","13,944,000.0","22,137,000.0","8,965,000.0","7,837,000.0","22,137,000.0"
Adidas,2023,DB:ADS,EUR,thousands,2022-12-31,"22,511,000.0","-11,867,000.0","-1,651,000.0","502,000.0","638,000.0","5,973,000.0","11,732,000.0","20,296,000.0","9,257,000.0","5,351,000.0","20,296,000.0"
Adidas,2024,DB:ADS,EUR,thousands,2023-12-31,"21,427,000.0","-11,244,000.0","-1,839,000.0","187,000.0","-14,000.0","4,525,000.0","9,809,000.0","18,020,000.0","8,043,000.0","4,925,000.0","18,020,000.0"
Ahold Delhaize,2015,ENXTAM:AD,EUR,thousands,2014-12-28,"32,774,000.0","-24,029,000.0","-950,000.0","1,245,000.0","594,000.0","1,589,000.0","4,448,000.0","14,138,000.0","4,466,000.0","4,844,000.0","14,138,000.0"
Ahold Delhaize,2016,ENXTAM:AD,EUR,thousands,2016-01-03,"38,203,000.0","-27,760,000.0","-1,179,000.0","1,303,000.0","851,000.0","1,676,000.0","5,260,000.0","15,880,000.0","5,002,000.0","5,621,000.0","15,880,000.0"
Ahold Delhaize,2017,ENXTAM:AD,EUR,thousands,2017-01-01,"49,695,000.0","-36,317,000.0","-1,607,000.0","1,335,000.0","830,000.0","3,288,000.0","9,977,000.0","36,275,000.0","10,397,000.0","16,276,000.0","36,275,000.0"
Ahold Delhaize,2018,ENXTAM:AD,EUR,thousands,2017-12-31,"62,890,000.0","-46,121,000.0","-2,097,000.0","2,225,000.0","1,817,000.0","3,077,000.0","9,970,000.0","33,871,000.0","10,305,000.0","15,170,000.0","33,871,000.0"
Ahold Delhaize,2019,ENXTAM:AD,EUR,thousands,2018-12-30,"62,791,000.0","-45,838,000.0","-2,139,000.0","2,651,000.0","1,780,000.0","3,196,000.0","8,918,000.0","39,830,000.0","10,943,000.0","14,205,000.0","39,830,000.0"
Ahold Delhaize,2020,ENXTAM:AD,EUR,thousands,2019-12-29,"66,260,000.0","-48,200,000.0","-2,210,000.0","2,660,000.0","1,766,000.0","3,347,000.0","9,570,000.0","41,490,000.0","12,590,000.0","14,083,000.0","41,490,000.0"
Ahold Delhaize,2021,ENXTAM:AD,EUR,thousands,2021-01-03,"74,736,000.0","-54,160,000.0","-2,774,000.0","2,188,000.0","1,397,000.0","3,245,000.0","8,928,000.0","40,692,000.0","12,812,000.0","12,432,000.0","40,692,000.0"
Ahold Delhaize,2022,ENXTAM:AD,EUR,thousands,2022-01-02,"75,601,000.0","-54,916,000.0","-2,880,000.0","3,326,000.0","2,246,000.0","3,728,000.0","9,584,000.0","45,712,000.0","14,179,000.0","13,721,000.0","45,712,000.0"
Ahold Delhaize,2023,ENXTAM:AD,EUR,thousands,2023-01-01,"86,984,000.0","-63,689,000.0","-3,044,000.0","3,795,000.0","2,546,000.0","4,611,000.0","10,818,000.0","48,555,000.0","15,082,000.0","15,405,000.0","48,555,000.0"
Ahold Delhaize,2024,ENXTAM:AD,EUR,thousands,2023-12-31,"88,649,000.0","-64,880,000.0","-3,525,000.0","2,874,000.0","1,874,000.0","4,583,000.0","11,463,000.0","47,821,000.0","15,610,000.0","14,755,000.0","47,821,000.0"
Aritzia,2015,TSX:ATZ,CAD,thousands,2015-03-01,"427,426.0","-268,081.0","-125,429.0","35,670.0","16,450.0","63,384.0","85,702.0","373,412.0","86,453.0","80,311.0","373,412.0"
Aritzia,2016,TSX:ATZ,CAD,thousands,2016-02-28,"542,463.0","-344,095.0","-145,762.0","56,118.0","32,372.0","77,331.0","95,488.0","401,118.0","67,151.0","112,682.0","401,118.0"
Aritzia,2017,TSX:ATZ,CAD,thousands,2017-02-26,"667,181.0","-401,658.0","-281,817.0","-15,132.0","-56,109.0","74,184.0","169,078.0","486,845.0","101,509.0","201,608.0","486,845.0"
Aritzia,2018,TSX:ATZ,CAD,thousands,2018-02-25,"743,267.0","-447,776.0","-201,097.0","91,644.0","57,093.0","78,833.0","211,454.0","568,376.0","105,727.0","285,701.0","568,376.0"
Aritzia,2019,TSX:ATZ,CAD,thousands,2019-03-03,"874,296.0","-531,383.0","-226,837.0","114,775.0","78,728.0","112,183.0","235,857.0","629,374.0","90,611.0","374,309.0","629,374.0"
Aritzia,2020,TSX:ATZ,CAD,thousands,2020-03-01,"980,589.0","-577,165.0","-251,152.0","153,293.0","90,594.0","94,034.0","231,376.0","1,036,715.0","153,843.0","332,065.0","1,036,715.0"
Aritzia,2021,TSX:ATZ,CAD,thousands,2021-02-28,"857,323.0","-545,918.0","-261,417.0","53,039.0","19,227.0","171,821.0","355,341.0","1,140,737.0","249,195.0","360,263.0","1,140,737.0"
Aritzia,2022,TSX:ATZ,CAD,thousands,2022-02-27,"1,494,630.0","-839,678.0","-418,933.0","243,202.0","156,917.0","208,125.0","521,536.0","1,424,586.0","387,325.0","530,811.0","1,424,586.0"
Aritzia,2023,TSX:ATZ,CAD,thousands,2023-02-26,"2,195,630.0","-1,281,638.0","-626,838.0","292,229.0","187,588.0","467,634.0","611,848.0","1,836,543.0","417,300.0","685,787.0","1,836,543.0"
