company_name,year,Net Revenue,Cost of Goods,SG&A,Operating Profit,Net Profit,Inventory,Current Assets,Total Assets,Current Liabilities,Total Shareholder Equity,Total Liabilities and Shareholder Equity
walmart,2024,642637.0,490142.0,130971.0,27012.0,16270.0,54892.0,76877.0,252399.0,92415.0,83861.0,252399.0
walmart,2023,605881.0,463721.0,127140.0,20428.0,11292.0,56576.0,75655.0,243197.0,92198.0,76693.0,243197.0
walmart,2022,567762.0,429000.0,117812.0,25942.0,13940.0,56511.0,81070.0,244860.0,87379.0,83253.0,244860.0
walmart,2021,555233.0,420315.0,116288.0,22548.0,13706.0,44949.0,90067.0,252496.0,92645.0,80925.0,252496.0
target,2024,107412.0,77736.0,21554.0,5707.0,4138.0,11886.0,17498.0,55356.0,19304.0,13432.0,55356.0
target,2023,109120.0,82229.0,20658.0,3848.0,2780.0,13499.0,17846.0,53335.0,19500.0,11232.0,53335.0
target,2022,106005.0,74963.0,19752.0,8946.0,6946.0,13902.0,21573.0,53811.0,21747.0,12827.0,53811.0
target,2021,93561.0,66177.0,18615.0,6539.0,4368.0,10653.0,20756.0,51248.0,20125.0,14440.0,51248.0
target,2020,78112.0,54864.0,16233.0,4658.0,3281.0,8992.0,12902.0,42779.0,14487.0,11833.0,42779.0
target,2019,75356.0,53299.0,15723.0,4110.0,2937.0,9497.0,12519.0,41290.0,15014.0,11297.0,41290.0
dollar_general,2024,38691.61,26972.58,9272.72,2446.3,1661.27,6994.27,8010.72,30795.59,6725.7,6749.12,30795.59
dollar_general,2023,37844.86,26024.76,8491.8,3328.3,2415.99,6760.73,7581.01,29083.37,5887.77,5541.77,29083.37
dollar_general,2022,34220.45,23407.44,7592.33,3220.68,2399.23,5614.32,6303.84,26327.37,5979.36,6261.99,26327.37
dollar_general,2021,33746.84,23027.98,7164.1,3554.76,2655.05,5247.48,6914.22,25862.62,5710.78,6661.24,25862.62
dollar_general,2020,27753.97,19264.91,6186.76,2302.3,1712.56,4676.85,5177.87,22825.08,4543.56,6702.5,22825.08
dollar_general,2019,25625.04,17821.17,5687.56,2116.31,1589.47,4097.0,4663.02,13204.04,3015.86,6417.39,13204.04
dollar_tree,2024,30581.6,21272.0,9144.6,-881.8,-998.4,5112.8,6132.7,22023.5,4696.7,7313.1,22023.5
dollar_tree,2023,28318.2,19396.3,6699.1,2236.3,1615.4,5449.3,6367.1,23022.1,4225.2,8751.5,23022.1
dollar_tree,2022,26309.8,18583.9,5925.9,1811.4,1327.9,4367.3,5609.2,21721.8,4176.6,7718.5,21721.8
dollar_tree,2021,25509.3,17721.0,5900.4,1887.9,1341.9,3427.0,5050.8,20696.0,3730.3,7285.3,20696.0
dollar_tree,2020,23610.8,16570.1,5465.5,1262.2,827.0,3522.0,4269.4,19574.6,3546.5,6254.8,19574.6
dollar_tree,2019,22823.3,15875.8,7887.0,-939.5,-1590.8,3536.0,4293.3,13501.2,2095.7,5642.9,13501.2
five_below,2024,3559.37,2285.54,757.51,385.57,301.11,584.63,1203.54,3872.04,715.93,1584.96,3872.04
five_below,2023,3076.31,1980.82,750.45,345.04,261.53,527.72,1066.38,3324.91,602.56,1361.93,3324.91
five_below,2022,2848.35,1817.91,650.56,379.88,278.81,455.1,904.74,2880.46,586.9,1120.28,2880.46
five_below,2021,1962.14,1309.81,497.53,154.8,123.36,281.27,755.41,2314.77,435.67,881.89,2314.77
five_below,2020,1846.73,1172.76,456.68,217.28,175.06,324.03,665.71,1958.66,351.35,759.78,1958.66
five_below,2019,1559.56,994.48,377.9,187.18,149.65,243.64,642.26,952.26,253.1,615.09,952.26
costco,2023,242290.0,212586.0,21590.0,8114.0,6292.0,16651.0,35879.0,68994.0,33583.0,25058.0,68994.0
costco,2022,226954.0,199382.0,19779.0,7793.0,5915.0,17907.0,32696.0,64166.0,31998.0,20642.0,64166.0
costco,2021,195929.0,170684.0,18461.0,6708.0,5079.0,14215.0,29505.0,59268.0,29441.0,17564.0,59268.0
costco,2020,166761.0,144939.0,16332.0,5435.0,4059.0,12242.0,28120.0,55556.0,24844.0,18284.0,55556.0
costco,2019,152703.0,132886.0,14994.0,4737.0,3704.0,11395.0,23485.0,45400.0,23237.0,15243.0,45400.0
bjs,2024,19968.69,16326.13,2822.51,800.42,523.74,1454.82,1794.01,6677.62,2468.05,1458.85,6677.62
bjs,2023,19315.17,15883.68,2668.57,737.99,513.18,1378.55,1703.24,6349.96,2545.34,1046.84,6349.96
bjs,2022,16667.3,13588.61,2446.47,617.32,426.65,1242.93,1517.06,5668.89,2002.48,648.11,5668.89
bjs,2021,15430.02,12451.06,2326.76,642.39,421.03,1205.69,1470.58,5411.53,2031.21,319.33,5411.53
bjs,2019,13007.35,10646.45,2051.32,303.45,127.26,1052.31,1337.21,3239.28,1577.69,-202.08,3239.28
tj_maxx,2024,54217.0,37951.0,10469.0,5967.0,4474.0,5965.0,12664.0,29747.0,10451.0,7302.0,29747.0
tj_maxx,2023,49936.0,36149.0,8927.0,4636.0,3498.0,5819.0,12456.0,28349.0,10305.0,6364.0,28349.0
tj_maxx,2022,48549.98,34713.81,9081.24,4397.61,3282.82,5961.57,13258.6,28461.46,10468.14,6002.99,28461.46
tj_maxx,2021,32136.96,24533.81,7020.92,89.26,90.47,4337.39,15739.34,30813.56,10803.67,5832.68,30813.56
tj_maxx,2020,41716.98,29845.78,7454.99,4406.18,3272.19,4872.59,8890.62,24145.0,7150.25,5948.21,24145.0
tj_maxx,2019,38972.93,27831.18,6923.56,4763.23,3059.8,4579.03,8469.22,14326.03,5531.37,5048.61,14326.03
ross,2024,20376.94,14801.6,3267.68,2471.78,1874.52,2192.22,7398.14,14300.11,4185.8,4871.33,14300.11
ross,2023,18695.83,13946.23,2759.27,1987.49,1512.04,2023.49,6904.72,13416.46,3636.25,4288.58,13416.46
ross,2022,18916.24,13708.91,2874.47,2258.54,1722.59,2262.27,7473.18,13640.26,4214.93,4060.05,13640.26
ross,2021,12531.57,9838.57,2503.28,106.3,85.38,1508.98,6692.49,12717.87,3967.03,3290.64,12717.87
ross,2020,16039.07,11536.19,2356.7,2164.29,1660.93,1832.34,3432.83,9348.37,2701.93,3359.25,9348.37
ross,2019,14983.54,10726.28,2216.55,2050.88,1587.46,1750.44,3404.02,6073.69,2009.48,3305.75,6073.69
burlington,2024,9708.97,5584.06,3288.32,465.77,339.65,1087.84,2327.02,7706.84,2028.79,996.93,7706.84
burlington,2023,8684.55,5171.72,2877.36,307.51,230.12,1181.98,2283.79,7269.6,1911.95,794.9,7269.6
burlington,2022,9306.55,5436.15,2868.53,545.3,408.84,1021.01,2547.64,7089.51,1947.65,760.42,7089.51
burlington,2021,5751.54,3555.02,2326.93,-437.62,-216.5,740.79,2510.62,6781.09,1684.0,464.75,6781.09
