company_name,year,reportDate,Net Revenue,Cost of Goods,SGA,Operating Profit,Net Profit,Inventory,Current Assets,Total Assets,Current Liabilities,Total Shareholder Equity,Total Liabilities and Shareholder Equity
Louis Vuitton,2024,2024-12-31,84683000,27918000,37222000,18907000,12550000,23669000,47471000,149190000,33696000,67517000,149190000
Louis Vuitton,2023,2023-12-31,86153000,26876000,36482000,22560000,15174000,22952000,43710000,143694000,33145000,61017000,143694000
Louis Vuitton,2022,2022-12-31,79183000,24988000,33178000,21001000,14084000,20319000,39740000,134646000,31543000,55111000,134646000
Louis Vuitton,2021,2021-12-31,64215000,20355000,26722000,17155000,12036000,16548000,34301000,125311000,27989000,47119000,125311000
Inditex/Zara,2024,2024-01-31,35947000,15186000,3368000,6809000,5381000,2966000,16016000,32735000,8937000,18642000,32735000
Inditex/Zara,2023,2023-01-31,32569000,14011000,3105000,5520000,4130000,3191000,14639000,29983000,8137000,17008000,29983000
Inditex/Zara,2022,2022-01-31,27716000,11902000,3030000,4282000,3243000,3042000,13602000,28945000,8030000,15733000,28945000
Inditex/Zara,2021,2021-01-31,20402000,9013000,2422000,1507000,1106000,2321000,10957000,26418000,6338000,14520000,26418000
H&M,2024,2024-11-30,234478000,109179000,107915000,17306000,11621000,40348000,75727000,180214000,66650000,46142000,180214000
H&M,2023,2023-11-30,236035000,115139000,107330000,14537000,8745000,37358000,80529000,181273000,67927000,47519000,181273000
H&M,2022,2022-11-30,223553000,110183000,105932000,7169000,3566000,42495000,79523000,182048000,68335000,50757000,182048000
H&M,2021,2021-11-30,198967000,93961000,89751000,15255000,11010000,37306000,78986000,179781000,60997000,60018000,179781000
Adidas,2024,2023-12-31,21427000,11244000,9914000,268000,-75000,4525000,9809000,18020000,8043000,4580000,18020000
Adidas,2023,2022-12-31,22511000,11867000,10015000,669000,612000,5973000,11732000,20296000,9257000,4991000,20296000
Adidas,2022,2021-12-31,21234000,10469000,8810000,1986000,2116000,4009000,13944000,22137000,8965000,7519000,22137000
Adidas,2021,2020-12-31,18435000,9213000,8353000,746000,432000,4397000,12154000,21053000,8827000,6454000,21053000
Aritzia,2024,2024-02-29,2332350,1433369,740567,158414,78780,340145,566220,1946133,403432,807495,1946133
Aritzia,2023,2023-02-28,2195630,1281638,626838,287154,187588,467634,611848,1836543,417300,685787,1836543
Aritzia,2022,2022-02-28,1494630,839678,418933,236019,156917,208125,521536,1424586,387325,530811,1424586
Aritzia,2021,2021-02-28,857323,544818,261417,51088,19227,171821,355341,1140737,249195,360263,1140737
Ahold Delhaize,2024,2024-12-31,89357000,65551000,21453000,2784000,1764000,4797000,14526000,51842000,17396000,15454000,51842000
Ahold Delhaize,2023,2023-12-31,88734000,64880000,21422000,2846000,1874000,4584000,11463000,47821000,15610000,14755000,47821000
Ahold Delhaize,2022,2022-12-31,86984000,63689000,20190000,3768000,2546000,4612000,10818000,48555000,15082000,15405000,48555000
Ahold Delhaize,2021,2021-12-31,75600000,54916000,17896000,3320000,2246000,3727000,9584000,45712000,14179000,13720000,45712000
ASOS,2024,2024-08-31,2905800,1743300,1496400,-331900,-338700,520300,1146400,2271200,714000,521300,2271200
ASOS,2023,2023-08-31,3549500,2090500,1709500,-248500,-223100,768000,1234500,2625600,715200,866700,2625600
ASOS,2022,2022-08-31,3936500,2219000,1694000,-9800,-30800,1078400,1554000,2996900,1040000,1014900,2996900
ASOS,2021,2021-08-31,3910500,2134100,1586300,190100,128400,807100,1559700,2884500,998000,1034000,2884500
