company_name,year,reportDate,Net Revenue,Cost of Goods,SG&A,Operating Profit,Net Profit,Inventory,Current Assets,Total Assets,Current Liabilities,Total Shareholder Equity,Total Liabilities and Shareholder Equity
Walmart,2024,2024-01-31,648125000.0,490142000.0,130971000.0,27012000.0,15511000.0,54892000.0,76877000.0,252399000.0,92415000.0,83861000.0,161828000.0
Walmart,2023,2023-01-31,611289000.0,463721000.0,127140000.0,20428000.0,11680000.0,56576000.0,75655000.0,243197000.0,92198000.0,76693000.0,159206000.0
Walmart,2022,2022-01-31,572754000.0,429000000.0,117812000.0,25942000.0,13673000.0,56511000.0,81070000.0,244860000.0,87379000.0,83253000.0,152969000.0
Walmart,2021,2021-01-31,559151000.0,420315000.0,116288000.0,22548000.0,13510000.0,44949000.0,90067000.0,252496000.0,92645000.0,80925000.0,164965000.0
Target,2024,2024-01-31,107412000.0,77736000.0,21554000.0,5707000.0,4138000.0,11886000.0,17498000.0,55356000.0,19304000.0,13432000.0,41924000.0
Target,2023,2023-01-31,109120000.0,82229000.0,20658000.0,3848000.0,2780000.0,13499000.0,17846000.0,53335000.0,19500000.0,11232000.0,42103000.0
Target,2022,2022-01-31,106005000.0,74963000.0,19752000.0,8946000.0,6946000.0,13902000.0,21573000.0,53811000.0,21747000.0,12827000.0,40984000.0
Target,2021,2021-01-31,93561000.0,66177000.0,18615000.0,6539000.0,4368000.0,10653000.0,20756000.0,51248000.0,20125000.0,14440000.0,36808000.0
Dollar General,2024,2024-01-31,38691609.0,26972585.0,9272724.0,2446300.0,1661274.0,6994266.0,8010724.0,30795591.0,6725701.0,6749119.0,24046472.0
Dollar General,2023,2023-01-31,37844863.0,26024765.0,8491796.0,3328302.0,2415989.0,6760733.0,7581009.0,29083367.0,5887768.0,5541772.0,23541595.0
Dollar General,2022,2022-01-31,34220449.0,23407443.0,7592331.0,3220675.0,2399232.0,5614325.0,6303843.0,26327371.0,5979357.0,6261986.0,20065385.0
Dollar General,2021,2021-01-31,33746839.0,23027977.0,7164097.0,3554765.0,2655050.0,5247477.0,6914219.0,25862624.0,5710783.0,6661238.0,19201386.0
Dollar Tree,2024,2024-01-31,30603800.0,21272000.0,9144600.0,187200.0,-998400.0,5112800.0,6132700.0,22023500.0,4696700.0,7313100.0,14710400.0
Dollar Tree,2023,2023-01-31,28331700.0,19396300.0,6699100.0,2236300.0,1615400.0,5449300.0,6367100.0,23022100.0,4225200.0,8751500.0,14270600.0
Dollar Tree,2022,2022-01-31,26321200.0,18583900.0,5925900.0,1811400.0,1327900.0,4367300.0,5609200.0,21721800.0,4176600.0,7718500.0,14003300.0
Dollar Tree,2021,2021-01-31,25509300.0,17721000.0,5900400.0,1887900.0,1341900.0,3427000.0,5050800.0,20696000.0,3730300.0,7285300.0,13410700.0
Five Below,2024,2024-01-31,3559369.0,2285544.0,757507.0,385571.0,301106.0,584627.0,1203542.0,3872037.0,715926.0,1584956.0,2287081.0
Five Below,2023,2023-01-31,3076308.0,1980817.0,644831.0,345043.0,261528.0,527720.0,1066379.0,3324911.0,602560.0,1361929.0,1962982.0
Five Below,2022,2022-01-31,2848354.0,1817910.0,565733.0,379880.0,278810.0,455104.0,904739.0,2880460.0,586901.0,1120284.0,1760176.0
Five Below,2021,2021-01-31,1962137.0,1309807.0,497527.0,154803.0,123361.0,281267.0,755413.0,2314770.0,435670.0,881886.0,1432884.0
Costco,2024,2024-08-31,254453000.0,222358000.0,22810000.0,9285000.0,7367000.0,18647000.0,34246000.0,69831000.0,35464000.0,23622000.0,46209000.0
Costco,2023,2023-08-31,242290000.0,212586000.0,21590000.0,8114000.0,6292000.0,16651000.0,35879000.0,68994000.0,33583000.0,25058000.0,43936000.0
Costco,2022,2022-08-31,226954000.0,199382000.0,19779000.0,7793000.0,5844000.0,17907000.0,32696000.0,64166000.0,31998000.0,20642000.0,43519000.0
Costco,2021,2021-08-31,195929000.0,170684000.0,18537000.0,6708000.0,5007000.0,14215000.0,29505000.0,59268000.0,29441000.0,17564000.0,41190000.0
BJ's,2024,2024-01-31,19968689.0,16326129.0,2822513.0,820047.0,523741.0,1454822.0,1794006.0,6677622.0,2468048.0,1458851.0,5218771.0
BJ's,2023,2023-01-31,19315165.0,15883677.0,2668569.0,762919.0,513177.0,1378551.0,1703245.0,6349956.0,2545341.0,1046837.0,5303119.0
BJ's,2022,2022-01-31,16667302.0,13588612.0,2446465.0,632225.0,426652.0,1242935.0,1517056.0,5668894.0,2002481.0,648108.0,5020786.0
BJ's,2021,2021-01-31,15430017.0,12451061.0,2326755.0,652201.0,421030.0,1205695.0,1470581.0,5411530.0,2031212.0,319327.0,5092203.0
TJ Maxx,2024,2024-01-31,54217000.0,37951000.0,10469000.0,5797000.0,4474000.0,5965000.0,12664000.0,29747000.0,10451000.0,7302000.0,22445000.0
TJ Maxx,2023,2023-01-31,49936000.0,36149000.0,8927000.0,4860000.0,3498000.0,5819000.0,12456000.0,28349000.0,10305000.0,6364000.0,21985000.0
TJ Maxx,2022,2022-01-31,48550000.0,34714000.0,9081000.0,4755000.0,3283000.0,5962000.0,13259000.0,28461000.0,10468000.0,6003000.0,22458000.0
TJ Maxx,2021,2021-01-31,32137000.0,24534000.0,7021000.0,582000.0,90000.0,4337389.0,15739337.0,30813555.0,10803668.0,5832684.0,24980871.0
Ross,2024,2024-01-31,20376941.0,14801601.0,3267677.0,2307663.0,1874520.0,2192220.0,7398138.0,14300109.0,4185796.0,4871326.0,9428783.0
Ross,2023,2023-01-31,18695829.0,13946230.0,2759268.0,1990331.0,1512041.0,2023495.0,6904719.0,13416463.0,3636246.0,4288583.0,9127880.0
Ross,2022,2022-01-31,18916244.0,13708907.0,2874469.0,2332868.0,1722589.0,2262273.0,7473176.0,13640256.0,4214929.0,4060050.0,9580206.0
Ross,2021,2021-01-31,12531565.0,9838574.0,2503281.0,189710.0,85382.0,1508982.0,6692491.0,12717867.0,3967033.0,3290640.0,9427227.0
Burlington,2024,2024-01-31,9727467.0,5584060.0,3288315.0,548028.0,339649.0,1087841.0,2327024.0,7706840.0,2028786.0,996932.0,6709908.0
Burlington,2023,2023-01-31,8702604.0,5171715.0,2877356.0,383135.0,230123.0,1181982.0,2283792.0,7269597.0,1911951.0,794905.0,6474692.0
Burlington,2022,2022-01-31,9322256.0,5436155.0,2868527.0,768357.0,408839.0,1021009.0,2547644.0,7089513.0,1947647.0,760417.0,6329096.0
Burlington,2021,2021-01-31,5763980.0,3555024.0,2326928.0,-338362.0,-216499.0,740788.0,2510616.0,6781092.0,1683996.0,464754.0,6316338.0
Macy's,2024,2024-01-31,23866000.0,14143000.0,8509000.0,1214000.0,105000.0,4361000.0,6089000.0,16246000.0,4430000.0,4137000.0,12109000.0
Macy's,2023,2023-01-31,25449000.0,15306000.0,8500000.0,1643000.0,1177000.0,4267000.0,5853000.0,16866000.0,4861000.0,4082000.0,12784000.0
Macy's,2022,2022-01-31,25399000.0,14956000.0,8250000.0,2193000.0,1430000.0,4383000.0,6758000.0,17590000.0,5416000.0,3621000.0,13969000.0
Macy's,2021,2021-01-31,18097000.0,12286000.0,6851000.0,-1040000.0,-3944000.0,3774000.0,6184000.0,17706000.0,5357000.0,2553000.0,15153000.0
Nordstrom,2024,2024-01-31,14693000.0,9303000.0,4855000.0,535000.0,134000.0,1888000.0,3136000.0,8444000.0,3072000.0,848000.0,7596000.0
Nordstrom,2023,2023-01-31,15530000.0,10019000.0,5046000.0,465000.0,245000.0,1941000.0,3209000.0,8745000.0,2990000.0,739000.0,8006000.0
Nordstrom,2022,2022-01-31,14789000.0,9344000.0,4953000.0,492000.0,178000.0,2289000.0,3172000.0,8869000.0,3314000.0,581000.0,8288000.0
Nordstrom,2021,2021-01-31,10715000.0,7600000.0,4162000.0,-1047000.0,-690000.0,1863000.0,3642000.0,9538000.0,4120000.0,305000.0,9233000.0
Dillard's,2024,2024-01-31,6874420.0,4031108.0,1738984.0,924755.0,738847.0,1093999.0,2208210.0,3448906.0,827756.0,1697068.0,1751838.0
Dillard's,2023,2023-01-31,6996215.0,3983598.0,1697486.0,1126691.0,891637.0,1120208.0,2071846.0,3329150.0,858961.0,1598638.0,1730512.0
Dillard's,2022,2022-01-31,6624267.0,3747665.0,1559148.0,1118133.0,862473.0,1080178.0,1914651.0,3245557.0,966186.0,1451218.0,1794339.0
Dillard's,2021,2021-01-31,4433185.0,3069063.0,1233657.0,-82913.0,-71654.0,1087763.0,1661940.0,3092515.0,772877.0,1441008.0,1651507.0
Kohl's,2024,2024-01-31,17476000.0,10498000.0,5512000.0,717000.0,317000.0,2880000.0,3410000.0,14009000.0,2612000.0,3893000.0,10116000.0
Kohl's,2023,2023-01-31,18098000.0,11457000.0,5587000.0,246000.0,-19000.0,3189000.0,3736000.0,14345000.0,3115000.0,3763000.0,10582000.0
