company_name,year,Net Revenue,Cost of Goods,SG&A,Operating Profit,Net Profit,Inventory,Current Assets,Total Assets,Current Liabilities,Total Shareholder Equity,Total Liabilities and Shareholder Equity,Gross Margin,Liabilities,Cost of Goods Percentage,Gross Margin Percentage,SG&A Expense Percentage,Operating Profit Margin Percentage,Net Profit Margin Percentage,Inventory Turnover,Asset Turnover,Return on Assets Percentage,Current Ratio,Quick Ratio,Debt to Equity Ratio,3-Year Revenue CAGR
walmart,2024,648125000.0,490142000.0,130971000.0,27012000.0,16270000.0,54892000.0,76877000.0,252399000.0,92415000.0,83861000.0,252399000.0,157983000.0,168538000.0,75.6%,24.4%,20.2%,4.2%,2.5%,8.9,2.6,6.4%,0.8,0.2,2.0,5.0%
walmart,2023,611289000.0,463721000.0,127140000.0,20428000.0,11680000.0,56576000.0,75655000.0,243197000.0,92198000.0,76693000.0,243197000.0,147568000.0,166504000.0,75.9%,24.1%,20.8%,3.3%,1.9%,8.2,2.5,4.8%,0.8,0.2,2.2,5.3%
walmart,2022,572754000.0,429000000.0,117812000.0,25942000.0,13940000.0,56511000.0,81070000.0,244860000.0,87379000.0,91891000.0,244860000.0,143754000.0,152969000.0,74.9%,25.1%,20.6%,4.5%,2.4%,7.6,2.3,5.7%,0.9,0.3,1.7,3.6%
walmart,2021,559151000.0,420315000.0,116288000.0,22548000.0,13706000.0,44949000.0,90067000.0,252496000.0,92645000.0,87531000.0,252496000.0,138836000.0,164965000.0,75.2%,24.8%,20.8%,4.0%,2.5%,9.4,2.2,5.4%,1.0,0.5,1.9,
walmart,2020,523964000.0,394605000.0,108791000.0,20568000.0,14881000.0,44435000.0,61806000.0,236495000.0,77790000.0,74669000.0,236495000.0,129359000.0,161826000.0,75.3%,24.7%,20.8%,3.9%,2.8%,8.9,2.2,6.3%,0.8,0.2,2.2,
walmart,2019,514405000.0,385301000.0,107147000.0,21957000.0,6670000.0,44269000.0,61897000.0,219295000.0,77477000.0,79634000.0,219295000.0,129104000.0,139661000.0,74.9%,25.1%,20.8%,4.3%,1.3%,8.7,2.3,3.0%,0.8,0.2,1.8,
target,2024,107412000.0,77736000.0,21554000.0,5707000.0,4138000.0,11886000.0,17498000.0,55356000.0,19304000.0,13432000.0,55356000.0,29676000.0,41924000.0,72.4%,27.6%,20.1%,5.3%,3.9%,6.5,1.9,7.5%,0.9,0.3,3.1,4.7%
target,2023,109120000.0,82229000.0,20658000.0,3848000.0,2780000.0,13499000.0,17846000.0,53335000.0,19500000.0,11232000.0,53335000.0,26891000.0,42103000.0,75.4%,24.6%,18.9%,3.5%,2.5%,6.1,2.0,5.2%,0.9,0.2,3.7,11.8%
target,2022,106005000.0,74963000.0,19752000.0,8946000.0,6946000.0,13902000.0,21573000.0,53811000.0,21747000.0,12827000.0,53811000.0,31042000.0,40984000.0,70.7%,29.3%,18.6%,8.4%,6.6%,5.4,2.0,12.9%,1.0,0.4,3.2,12.0%
target,2021,93561000.0,66177000.0,18615000.0,6539000.0,4368000.0,10653000.0,20756000.0,51248000.0,20125000.0,14440000.0,51248000.0,27384000.0,36808000.0,70.7%,29.3%,19.9%,7.0%,4.7%,6.2,1.8,8.5%,1.0,0.5,2.5,
target,2020,78112000.0,54864000.0,16233000.0,4658000.0,3281000.0,8992000.0,12902000.0,42779000.0,14487000.0,11833000.0,42779000.0,23248000.0,30946000.0,70.2%,29.8%,20.8%,6.0%,4.2%,6.1,1.8,7.7%,0.9,0.3,2.6,
target,2019,75356000.0,53299000.0,15723000.0,4110000.0,2937000.0,9497000.0,12519000.0,41290000.0,15014000.0,11297000.0,41290000.0,22057000.0,29993000.0,70.7%,29.3%,20.9%,5.5%,3.9%,5.6,1.8,7.1%,0.8,0.2,2.7,
dollar_general,2024,38691609.0,26972585.0,9272724.0,2446300.0,1661274.0,6994266.0,8010724.0,30795591.0,6725701.0,6749119.0,30795591.0,11719024.0,24046472.0,69.7%,30.3%,24.0%,6.3%,4.3%,3.9,1.3,5.4%,1.2,0.2,3.6,4.7%
dollar_general,2023,37844863.0,26024765.0,8491796.0,3328302.0,2415989.0,6760733.0,7581009.0,29083367.0,5887768.0,5541772.0,29083367.0,11820098.0,23541595.0,68.8%,31.2%,22.4%,8.8%,6.4%,3.8,1.3,8.3%,1.3,0.1,4.2,10.9%
dollar_general,2022,34220449.0,23407443.0,7592331.0,3220675.0,2399232.0,5614325.0,6303843.0,26327371.0,5979357.0,6261986.0,26327371.0,10813006.0,20065385.0,68.4%,31.6%,22.2%,9.4%,7.0%,4.2,1.3,9.1%,1.1,0.1,3.2,10.1%
dollar_general,2021,33746839.0,23027977.0,7164097.0,3554765.0,2655050.0,5247477.0,6914219.0,25862624.0,5710783.0,6661238.0,25862624.0,10718862.0,19201386.0,68.2%,31.8%,21.2%,10.5%,7.9%,4.4,1.3,10.3%,1.2,0.3,2.9,
dollar_general,2020,27753973.0,19264912.0,6186757.0,2302304.0,1712555.0,4676848.0,5177868.0,22825084.0,4543560.0,6702500.0,22825084.0,8489061.0,16122584.0,69.4%,30.6%,22.3%,8.3%,6.2%,4.1,1.2,7.5%,1.1,0.1,2.4,
dollar_general,2019,25625043.0,17821173.0,5687564.0,2116306.0,1589472.0,4097004.0,4663020.0,13204038.0,3015857.0,6417393.0,13204038.0,7803870.0,6786645.0,69.5%,30.5%,22.2%,8.3%,6.2%,4.3,1.9,12.0%,1.5,0.2,1.1,
dollar_tree,2024,30603800.0,21272000.0,10213600.0,-881800.0,-998400.0,5112800.0,6132700.0,22023500.0,4696700.0,7313100.0,22023500.0,9331800.0,14710400.0,69.5%,30.5%,33.4%,-2.9%,-3.3%,4.2,1.4,-4.5%,1.3,0.2,2.0,6.3%
dollar_tree,2023,28331700.0,19396300.0,6699100.0,2236300.0,1615400.0,5449300.0,6367100.0,23022100.0,4225200.0,8751500.0,23022100.0,8935400.0,14270600.0,68.5%,31.5%,23.6%,7.9%,5.7%,3.6,1.2,7.0%,1.5,0.2,1.6,6.3%
dollar_tree,2022,26321200.0,18583900.0,5925900.0,1811400.0,1327900.0,4367300.0,5609200.0,21721800.0,4176600.0,7718500.0,21721800.0,7737300.0,14003300.0,70.6%,29.4%,22.5%,6.9%,5.0%,4.3,1.2,6.1%,1.3,0.3,1.8,4.9%
dollar_tree,2021,25509300.0,17721000.0,5900400.0,1887900.0,1341900.0,3427000.0,5050800.0,20696000.0,3730300.0,7285300.0,20696000.0,7788300.0,13410700.0,69.5%,30.5%,23.1%,7.4%,5.3%,5.2,1.2,6.5%,1.4,0.4,1.8,
