company_name,year,Net Revenue,Cost of Goods,SG&A,Operating Profit,Net Profit,Inventory,Current Assets,Total Assets,Current Liabilities,Total Shareholder Equity,Total Liabilities and Shareholder Equity
walmart,2024,642637000.0,490142000.0,130971000.0,27012000.0,15511000.0,54892000.0,76877000.0,252399000.0,92415000.0,83861000.0,252399000.0
walmart,2023,605881000.0,463721000.0,127140000.0,20428000.0,11680000.0,56576000.0,75655000.0,243197000.0,92198000.0,76693000.0,243197000.0
walmart,2022,567762000.0,429000000.0,117812000.0,25942000.0,13673000.0,56511000.0,81070000.0,244860000.0,87379000.0,83253000.0,244860000.0
walmart,2021,555233000.0,420315000.0,116288000.0,22548000.0,13510000.0,44949000.0,90067000.0,252496000.0,92645000.0,80925000.0,252496000.0
walmart,2020,519926000.0,394605000.0,108791000.0,20568000.0,15201000.0,44435000.0,61806000.0,236495000.0,77790000.0,74669000.0,236495000.0
walmart,2019,510329000.0,385301000.0,107147000.0,21957000.0,6670000.0,44269000.0,61897000.0,219295000.0,77477000.0,72496000.0,219295000.0
target,2024,107412000.0,77736000.0,21554000.0,5707000.0,4138000.0,11886000.0,17498000.0,55356000.0,19304000.0,13432000.0,55356000.0
target,2023,109120000.0,82229000.0,20658000.0,3848000.0,2780000.0,13499000.0,17846000.0,53335000.0,19500000.0,11232000.0,53335000.0
target,2022,106005000.0,74963000.0,19752000.0,8946000.0,6946000.0,13902000.0,21573000.0,53811000.0,21747000.0,12827000.0,53811000.0
target,2021,93561000.0,66177000.0,18615000.0,6539000.0,4368000.0,10653000.0,20756000.0,51248000.0,20125000.0,14440000.0,51248000.0
target,2020,78112000.0,54864000.0,16233000.0,4658000.0,3281000.0,8992000.0,12902000.0,42779000.0,14487000.0,11833000.0,42779000.0
target,2019,75356000.0,53299000.0,15723000.0,4110000.0,2937000.0,9497000.0,12519000.0,41290000.0,15014000.0,11297000.0,41290000.0
dollar_general,2024,38691609.0,26972585.0,9272724.0,2446300.0,1661274.0,6994266.0,8010724.0,30795591.0,6725701.0,6749119.0,30795591.0
dollar_general,2023,37844863.0,26024765.0,8491796.0,3328302.0,2415989.0,6760733.0,7581009.0,29083367.0,5887768.0,5541772.0,29083367.0
